第一批本科高校文史类、理工类投档情况统计表                                                
统计时间：2018年7月18日16时                                                
序号   科类        院校代号        院校名称        投档线        "最低投档排名"
1         文史        0004        北京师范大学★               635           366
2         文史        0007        北京体育大学▲               605           2691
3         文史        0043        天津师范大学               592           4432
4         文史        0191        大连海事大学▲               608           2250
5         文史        0221        东北师范大学▲               611           2009
6         文史        0241        哈尔滨师范大学               575           7788
7         文史        0282        华东师范大学★               630           579
8         文史        0311        南京师范大学▲               618           1316
9         文史        0351        浙江师范大学               601           3112
10        文史        0381        安徽师范大学               580           6798
11        文史        0421        福建师范大学               598           3611
12        文史        0461        山东师范大学               583           6074
13        文史        0501        河南师范大学               568           9840
14        文史        0541        华中师范大学▲               619           1261
15        文史        0602        湖南师范大学▲               612           1848
16        文史        0662        华南师范大学▲               617           1446
17        文史        0751        海南师范大学               577           7503
18        文史        0771        重庆师范大学               586           5552
19        文史        0772        西南大学▲        616        1543
20        文史        0775        西南大学(荣昌校区)▲        596        3866
21        文史        0791        四川师范大学        589        5055
22        文史        0871        陕西师范大学▲        610        2043
23        文史        0921        西北师范大学        579        6936
24        文史        0981        新疆师范大学        568        9840
25        文史        1001        中央民族大学★        622        1046
26        文史        1002        华北电力大学(北京)▲        613        1788
27        文史        1003        北京大学★        660        19
28        文史        1005        中国人民大学★        650        80
29        文史        1006        清华大学★        664        9
30        文史        1007        北京交通大学▲        622        1017
31        文史        1008        北京科技大学▲        620        1216
32        文史        1009        北京化工大学▲        612        1883
33        文史        1010        北京邮电大学▲        619        1289
34        文史        1012        北京林业大学▲        616        1540
35        文史        1013        北京中医药大学▲        618        1346
36        文史        1014        北京语言大学        610        2017
37        文史        1015        中国传媒大学▲        629        614
38        文史        1016        中央财经大学▲        633        451
39        文史        1017        对外经济贸易大学▲        632        502
40        文史        1018        中国政法大学▲        631        530
41        文史        1019        中国矿业大学(北京)▲        611        1961
42        文史        1020        中国石油大学(北京)▲        612        1880
43        文史        1022        北京航空航天大学★        630        569
44        文史        1023        北京理工大学★        626        747
45        文史        1025        北京第二外国语学院        616        1532
46        文史        1027        北京外国语大学▲        632        491
47        文史        1029        中国社会科学院大学        627        716
48        文史        1041        南开大学★        633        452
49        文史        1047        天津财经大学        612        1874
50        文史        1071        石家庄铁道大学        574        8153
51        文史        1072        华北电力大学(保定)▲        596        3802
52        文史        1073        燕山大学        589        5071
53        文史        1191        东北财经大学        617        1448
54        文史        1196        东北大学★        615        1570
55        文史        1198        辽宁大学▲        608        2352
56        文史        1221        吉林大学★        623        977
57        文史        1222        延边大学▲        587        5322
58        文史        1223        长春理工大学        569        9452
59        文史        1243        东北农业大学▲        587        5294
60        文史        1244        哈尔滨医科大学        576        7637
61        文史        1246        东北林业大学▲        589        4949
62        文史        1247        黑龙江中医药大学        568        9840
63        文史        1281        复旦大学★        653        53
64        文史        1282        同济大学★        631        506
65        文史        1283        上海交通大学★        644        164
66        文史        1286        上海外国语大学▲        630        575
67        文史        1287        上海财经大学▲        643        188
68        文史        1289        华东政法大学        621        1093
69        文史        1290        上海大学▲        620        1160
70        文史        1291        上海对外经贸大学        617        1457
71        文史        1294        上海理工大学        607        2401
72        文史        1310        中国人民大学(苏州校区)★        631        539
73        文史        1311        南京大学★        647        127
74        文史        1313        中国矿业大学▲        607        2397
75        文史        1314        河海大学▲        615        1581
76        文史        1316        中国药科大学▲        612        1841
77        文史        1318        南京航空航天大学▲        616        1463
78        文史        1319        苏州大学▲        621        1110
79        文史        1321        江南大学▲        614        1638
80        文史        1322        江苏大学        604        2709
81        文史        1323        扬州大学        605        2685
82        文史        1324        江苏科技大学        591        4734
83        文史        1325        西交利物浦大学        592        4539
84        文史        1351        浙江大学★        645        141
85        文史        1352        宁波大学        602        3034
86        文史        1353        浙江工业大学        598        3608
87        文史        1354        浙江理工大学        594        4217
88        文史        1356        浙江工商大学        615        1562
89        文史        1357        宁波诺丁汉大学        604        2749
90        文史        1381        合肥工业大学▲        591        4675
91        文史        1383        安徽大学▲        609        2145
92        文史        1384        合肥工业大学(宣城校区)▲        590        4916
93        文史        1421        厦门大学★        637        308
94        文史        1422        福州大学▲        615        1576
95        文史        1461        山东大学★        623        928
96        文史        1462        中国海洋大学★        621        1149
97        文史        1464        山东大学威海分校★        618        1342
98        文史        1501        郑州大学▲        609        2141
99        文史        1502        河南大学        591        4740
100       文史        1541        华中农业大学▲        610        2117
101       文史        1542        武汉大学★        636        335
102       文史        1543        中南财经政法大学▲        624        886
103       文史        1544        华中科技大学★        627        708
104       文史        1545        武汉理工大学▲        613        1721
105       文史        1546        中国地质大学(武汉)▲        612        1822
106       文史        1548        武汉科技大学        592        4529
107       文史        1601        湖南大学★        624        870
108       文史        1602        中南大学★        625        838
109       文史        1603        湘潭大学        593        4344
110       文史        1661        中山大学★        634        412
111       文史        1662        华南理工大学★        625        814
112       文史        1663        华南农业大学        599        3450
113       文史        1664        暨南大学▲        622        1051
114       文史        1665        广州中医药大学        596        3795
115       文史        1666        汕头大学        610        2039
116       文史        1667        广东外语外贸大学        617        1447
117       文史        1668        深圳大学        620        1202
118       文史        1669        南方医科大学        597        3654
119       文史        1721        广西大学▲        591        4579
120       文史        1751        海南大学▲        593        4251
121       文史        1771        重庆大学★        624        915
122       文史        1772        西南政法大学        622        1077
123       文史        1791        西南交通大学▲        612        1830
124       文史        1792        电子科技大学★        618        1320
125       文史        1793        西南财经大学▲        623        997
126       文史        1794        四川大学★        628        666
127       文史        1831        贵州大学▲        591        4706
128       文史        1851        云南大学▲        608        2315
129       文史        1872        西北农林科技大学★        611        2011
130       文史        1873        西安交通大学★        626        756
131       文史        1874        西北大学▲        611        1930
132       文史        1877        西北工业大学★        616        1547
133       文史        1878        长安大学▲        605        2637
134       文史        1921        兰州大学★        615        1632
135       文史        1961        宁夏大学▲        583        6024
136       文史        1982        石河子大学▲        571        8768
137       文史        1983        中国石油大学(北京)克拉玛依校区▲        568        9840
138       文史        2004        北京印刷学院        588        5114
139       文史        2005        北京建筑大学        590        4865
140       文史        2007        北京物资学院        588        5119
141       文史        2008        北京信息科技大学        587        5278
142       文史        2010        首都经济贸易大学        616        1515
143       文史        2011        北京工商大学        614        1657
144       文史        2016        北京联合大学        589        5003
145       文史        2020        首都师范大学        614        1664
146       文史        2042        天津科技大学        581        6520
147       文史        2045        天津外国语大学        608        2311
148       文史        2047        天津中医药大学        574        8030
149       文史        2049        中国民航大学        580        6709
150       文史        2071        河北大学        589        4991
151       文史        2131        山西大学        584        5877
152       文史        2133        中北大学        579        7057
153       文史        2137        山西财经大学        592        4536
154       文史        2200        大连外国语大学        595        3915
155       文史        2243        黑龙江大学        580        6773
156       文史        2245        哈尔滨商业大学        581        6494
157       文史        2281        上海师范大学        607        2449
158       文史        2283        上海电力学院        584        5973
159       文史        2284        上海应用技术大学        589        5033
160       文史        2285        上海海事大学        609        2149
161       文史        2286        上海海洋大学        594        4095
162       文史        2289        上海第二工业大学        581        6550
163       文史        2290        上海立信会计金融学院        618        1303
164       文史        2292        上海电机学院        570        9086
165       文史        2293        上海政法学院        605        2602
166       文史        2312        南京工业大学        594        4123
167       文史        2313        常州大学        589        4948
168       文史        2314        南京邮电大学        607        2402
169       文史        2315        南京林业大学        591        4606
170       文史        2317        南京审计大学        620        1215
171       文史        2319        南京财经大学        612        1816
172       文史        2321        苏州科技大学        578        7080
173       文史        2341        南京医科大学        590        4753
174       文史        2361        中国计量大学        588        5261
175       文史        2367        杭州师范大学        593        4302
176       文史        2371        湖州师范学院        577        7396
177       文史        2375        浙江财经大学        608        2354
178       文史        2382        安徽工业大学        575        7889
179       文史        2385        安徽财经大学        594        4081
180       文史        2421        闽江学院        585        5798
181       文史        2427        集美大学        610        2072
182       文史        2431        华侨大学        601        3151
183       文史        2461        烟台大学        588        5240
184       文史        2462        山东科技大学        586        5461
185       文史        2463        青岛大学        599        3466
186       文史        2468        济南大学        589        4962
187       文史        2483        山东工商学院        578        7313
188       文史        2489        曲阜师范大学        578        7124
189       文史        2517        河南财经政法大学        590        4863
190       文史        2542        武汉纺织大学        581        6432
191       文史        2544        湖北工业大学        587        5440
192       文史        2546        湖北大学        591        4621
193       文史        2548        长江大学        579        7041
194       文史        2558        三峡大学        580        6787
195       文史        2561        中南民族大学        591        4706
196       文史        2601        湖南农业大学        579        6884
197       文史        2602        中南林业科技大学        581        6478
198       文史        2603        湖南中医药大学        586        5555
199       文史        2608        长沙理工大学        590        4837
200       文史        2610        湖南工业大学        577        7529
201       文史        2613        湖南科技大学        580        6668
202       文史        2664        广东财经大学        609        2195
203       文史        2666        广东工业大学        595        4066
204       文史        2685        北京师范大学-香港浸会大学联合国         584        5906
205       文史        2687        广州医科大学        588        5096
206       文史        2774        重庆理工大学        588        5152
207       文史        2775        重庆工商大学        597        3667
208       文史        2778        四川外国语大学        608        2329
209       文史        2792        成都理工大学        586        5534
210       文史        2793        西南科技大学        578        7136
211       文史        2794        成都信息工程大学        579        7003
212       文史        2798        西华师范大学        574        8045
213       文史        2807        西华大学        581        6611
214       文史        2808        西南民族大学        586        5529
215       文史        2820        西南医科大学        568        9761
216       文史        2874        西安科技大学        581        6509
217       文史        2879        西北政法大学        602        2937
218       文史        8001        江西师范大学        581        6516
219       文史        8101        南昌大学▲        592        4511
220       文史        8102        江西财经大学        596        3810
221       文史        8201        江西农业大学        573        8451
222       文史        8202        华东交通大学        580        6753
223       文史        8203        江西理工大学        568        9599
224       文史        8204        东华理工大学        568        9840
225       文史        8205        南昌航空大学        579        6960
226       文史        8208        江西中医药大学        570        9074
227       文史        8210        赣南师范大学        568        9840
228       文史        8211        江西科技师范大学        568        9798
229       文史        8216        井冈山大学        575        8001
230       文史        8218        南昌工程学院        568        9840
231       文史        8254        江西理工大学        573        8317
232       文史        9600        江西师范大学(地方专项计划)        581        6485
233       文史        9601        南昌大学(地方专项计划)▲        591        4685
234       文史        9602        江西财经大学(地方专项计划)        598        3602
235       文史        9622        华东交通大学(地方专项计划)        579        7050
236       文史        9630        赣南师范大学(地方专项计划)        569        9518
237       文史        9650        江西师范大学(苏区专项计划)        580        6762
238       文史        9651        南昌大学(苏区专项计划)▲        591        4650
239       文史        9652        华东交通大学(苏区专项计划)        579        7062
240       文史        9653        江西理工大学(苏区专项计划)        572        8623
241       文史        9655        南昌航空大学(苏区专项计划)        577        7404
242       文史        9660        赣南师范大学(苏区专项计划)        569        9493
243       文史        9661        江西农业大学(苏区专项计划)        575        7793
244       文史        9662        江西科技师范大学(苏区专项计划)        569        9403
245       文史        9664        东华理工大学(苏区专项计划)        568        9840
246       文史        9666        井冈山大学(苏区专项计划)        568        9840
247       文史        9668        南昌工程学院(苏区专项计划)        568        9840
248       文史        9672        江西财经大学(苏区专项计划)        596        3839
249       理工        0004        北京师范大学★        635        2613
250       理工        0007        北京体育大学▲        562        21104
251       理工        0043        天津师范大学        561        21346
252       理工        0191        大连海事大学▲        589        11558
253       理工        0221        东北师范大学▲        585        12683
254       理工        0241        哈尔滨师范大学        545        28475
255       理工        0282        华东师范大学★        629        3364
256       理工        0311        南京师范大学▲        598        9437
