
子龙一一一一:    5156190/1086=4747.8729281767955
暴风泰坦一一:   11458200/1324=8654.229607250756

剑圣西纳一一:     7376560/826=8930.46004842615
精灵之翼一一:     1524524/170=8967.788235294118
王者圣甲一一:     2210720/245=9023.34693877551
孙小圣一一一:     6848740/759=9023.372859025032
灵巫杖一一一:     1039774/115=9041.51304347826
蓝色幻想一一:     2176656/240=9069.4
泪红羽绾一一:     1952320/215=9080.558139534884
武神奉先一一:     8687148/949=9154.00210748156
天马岚牙一一:   10441917/1140=9159.576315789474
红莲之剑一一:     1468691/160=9179.31875
冒险者之翼三:     1010263/110=9184.209090909091
蓝戒指二一一:     1289220/140=9208.714285714286
蓝钢之铠一一:       788451/85=9275.894117647058
王者之翼二一:     4468170/480=9308.6875
皓月之袍一一:     2710197/290=9345.506896551724
烈阳战斧一一:     1311350/140=9366.785714285714
王者之剑二一:     2717933/290=9372.18275862069
王者指环一一:     3659780/390=9384.051282051281
太虚剑一一一:     1786764/190=9404.021052631579
圆桌铠甲一一:       820747/70=11724.957142857143
王者指环一一:     6738730/390=17278.79487179487
王者圣甲一一:     5674720/245=23162.122448979593

process:  
    date         |  level | fight   |  cell | get
  ---------------|--------|---------|-------|----------
  2019-04-01     |  67    | 762465  |   615 | 
  2019-03-31     |  67    | 762465  |   614 | 
  2019-03-30     |  67    | 762465  |   613 | 
  2019-03-29     |  66    | 760048  |   612 | 
  2019-03-28     |  66    | 760048  |   610 | 
  2019-03-27     |  66    | 759716  |   609 | 
  2019-03-26     |  66    | 759716  |   608 | 
  2019-03-25     |  66    | 747913  |   606 | 
  2019-03-23     |  66    | 747913  |   605 | 
  2019-03-22     |  66    | 747913  |   602 | 
  2019-03-21     |  66    | 747651  |   601 | 
  2019-03-20     |  66    | 747651  |   600 | 
  2019-03-19     |  66    | 747349  |   595 | 
  2019-03-18     |  66    | 747349  |   594 | 
  2019-03-15     |  65    | 744947  |   592 | 
  2019-03-14     |  65    | 744947  |   591 | 
  2019-03-13     |  65    | 733886  |   590 | 
  2019-03-12     |  65    | 733617  |   589 | 
  2019-03-11     |  65    | 733617  |   584 | 
  2019-03-10     |  65    | 733617  |   582 | 
  2019-03-09     |  65    | 733309  |   581 | 王者指环
  2019-03-08     |  65    | 724149  |   579 | 王者之翼
  2019-03-07     |  65    | 703732  |   577 | 
  2019-03-05     |  65    | 703732  |   575 | 
  2019-03-05     |  65    | 703430  |   574 | 
  2019-03-04     |  65    | 703120  |   571 | 
  2019-03-01     |  64    | 701588  |   569 | 
  2019-02-28     |  64    | 699326  |   565 | 王者圣甲
  2019-02-27     |  64    | 681078  |   561 | 
  2019-02-24     |  64    | 681078  |   560 | 
  2019-02-22     |  64    | 681078  |   559 | 
  2019-02-18     |  64    | 676821  |   558 | 
  2019-02-14     |  63    | 673268  |   558 | 
  2019-02-13     |  63    | 673268  |   557 | 暴风泰坦
  2019-01-30     |  62    | 636441  |   555 | 孙小圣
  2019-01-30     |  62    | 630453  |   554 | 
  2019-01-27     |  62    | 630198  |   553 | 
  2019-01-26     |  62    | 630198  |   550 | 
  2019-01-22     |  62    | 626648  |   549 | 
  2019-01-16     |  60    | 626648  |   543 | 
  2019-01-15     |  60    | 623112  |   542 | 
  2019-01-14     |  60    | 623112  |   541 | 王者之剑 太虚剑 蓝色幻想 
  2019-01-10     |  60    | 608016  |   534 | 
  2019-01-09     |  60    | 607940  |   533 | 
  2019-01-08     |  60    | 607500  |   532 | 
  2019-01-07     |  60    | 607500  |   531 | 
  2019-01-06     |  60    | 608114  |   530 | 
  2019-01-04     |  60    | 602012  |   521 | 
  2019-01-02     |  60    | 586397  |   520 | 
  2018-12-29     |  60    | 586397  |   519 | 
  2018-12-28     |  59    | 586397  |   517 | 
  2018-12-27     |  59    | 586689  |   516 | 
  2018-12-24     |  59    | 573739  |   514 | 
  2018-12-19     |  59    | 571629  |   511 | 
  2018-12-18     |  59    | 569868  |   510 | 
  2018-12-17     |  58    | 567645  |   509 | 
  2018-12-15     |  58    | 564548  |   508 | 张飞
  2018-12-14     |  58    | 554886  |   507 | 
  2018-12-13     |  58    | 554886  |   504 | 精灵之翼
  2018-12-12     |  58    | 553138  |   502 | 
  2018-12-11     |  58    | 548660  |   501 | 
  2018-12-10     |  58    | 548416  |   500 | 泪红羽绾
  2018-12-07     |  58    | 544774  |   500 | 
  2018-12-05     |  57    | 542529  |   500 | 圣灵福音
  2018-12-04     |  57    | 535702  |   495 | 
  2018-12-02     |  57    | 532399  |   493 | 
  2018-12-01     |  57    | 532353  |   492 | 
  2018-11-30     |  57    | 521802  |   491 | 
  2018-11-28     |  57    | 521093  |   490 | 王者之翼  
  2018-11-27     |  57    | 510466  |   490 | 
  2018-11-26     |  56    | 508963  |   490 | 
  2018-11-25     |  56    | 507251  |   486 | 天马岚牙 武神奉先 红莲之剑 蓝戒指 皓月之袍
  2018-11-24     |  56    | 412368  |   436 | 
  2018-11-12     |  55    | 409847  |   436 | 蓝戒指
  2018-11-09     |  54    | 399202  |   436 | 
  2018-11-08     |  54    | 399202  |   435 | 
  2018-11-07     |  54    | 398792  |   433 | 
  2018-11-06     |  54    | 398792  |   432 | 
  2018-11-04     |  54    | 398679  |   431 | 
  2018-11-03     |  54    | 397656  |   429 | 
  2018-11-02     |  54    | 396304  |   428 | 精灵歌姬
  2018-11-01     |  53    | 395644  |   427 | 
  2018-10-31     |  53    | 394714  |   425 | 
  2018-10-30     |  53    | 394695  |   420 | 
  2018-10-29     |  53    | 394349  |   419 | 王者之剑
  2018-10-25     |  53    | 386674  |   415 | 
  2018-10-24     |  53    | 380570  |   413 | 
  2018-10-23     |  52    | 377281  |   412 | 
  2018-10-22     |  52    | 377281  |   411 | 
  2018-10-20     |  52    | 376875  |   409 | 
  2018-10-19     |  52    | 376875  |   408 | 
  2018-10-18     |  52    | 375014  |   399 | 
  2018-10-17     |  52    | 360544  |   396 | 
  2018-10-14     |  51    | 355705  |   395 | 
  2018-10-13     |  51    | 349658  |   387 | 
  2018-10-12     |  51    | 347700  |   382 | 
  2018-10-11     |  50    | 316950  |   375 | 烈阳战斧
  2018-10-10     |  50    | 315183  |   370 | 
  2018-10-9      |  50    | 315119  |   367 | 
  2018-10-8      |  49    | 306685  |   366 | 
  2018-9-29      |  49    | 285945  |   361 | 王者圣甲
  2018-9-28      |  49    | 285815  |   360 | 
  2018-9-27      |  49    | 275989  |   359 | 
  2018-9-25      |  48    | 273106  |   359 | 
  2018-9-19      |  48    | 271685  |   355 | 
  2018-9-16      |  47    | 261637  |   353 | 
  2018-9-15      |  46    | 261303  |   349 | 剑圣西纳
  2018-9-12      |  46    | 220208  |   299 | 
  2018-9-10      |  46    | 219600  |   298 | 
  2018-9-09      |  45    | 216841  |   298 | 
  2018-9-08      |  45    | 216471  |   296 | 
  2018-9-07      |  45    | 215105  |   295 | 
  2018-9-06      |  45    | 213580  |   294 | 
  2018-9-05      |  45    | 213244  |   293 | 
  2018-9-04      |  45    | 210723  |   292 | 
  2018-9-03      |  43    | 208261  |   289 | 
  2018-8-25      |  43    | 181648  |   285 | 
  2018-8-24      |  43    | 181648  |   284 | 
  2018-8-23      |  43    | 180854  |   280 | 
  2018-8-22      |  41    | 173706  |   273 | 
  2018-8-21      |  41    | 172561  |   266 | 
  2018-8-20      |  41    | 171254  |   265 | 
  2018-8-15      |  41    | 167182  |   255 | 

version 1
    date         |  level | life   |  dps all | dps min   | get     | mult    
  ---------------|--------|--------|----------|-----------|---------|------
    2019-04-xx   |  1775  |   |     |           |         | 
    2019-04-03   |  1760  | 7.51D  |  331U    |           |         | 
    2019-04-02   |  1755  | 5.5D   |  211U    |           |         | 秒伤 1888.8%
    2019-03-31   |  1750  |  3.91D |  200U    |           |         | 
    2019-03-30   |  1745  |  2.02D | 62.7U    |           |         | 
    2019-03-29   |  1740  |  1.74D | 57.1U    |           |         | 
    2019-03-28   |  1735  |   1.5D | 21.9U    |           |         | 
    2019-03-27   |  1730  |  1.29D | 21.8U    |           |         | 
